Probe,PROT,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6,DMD_7,DMD_8,DMD_9,DMD_10,DMD_11,DMD_12,NOR_1,NOR_2,NOR_3,NOR_4,NOR_5,NOR_6,NOR_7,NOR_8,NOR_9,NOR_10,NOR_11,NOR_12
1020_s_at,Q99828,2723,1942.8,1960.4,1646.8,1392,1795.5,1962.7,2075.7,2225.6,1525.1,1482.1,1946.5,2349.6,1928.6,1357.9,1606.3,1926.5,2232.2,1406.6,1928.6,1513.9,2047.1,1903.9,74.8
1021_at,P01579,221.5,439.9,73.2,191.9,47.8,79.3,305.6,172.8,290.2,38.5,193.3,387,157.9,148.1,258.7,142.3,187,281.9,290.7,60,56.7,274.5,203.8,9.5
1022_f_at,P01567,248.5,332.7,117.1,95.9,18.4,160.8,134.9,177.8,203.7,102,52,334.4,356.8,278.2,194.5,270.5,286.3,195.4,133.3,281.6,245.4,284.3,191.2,14.2
1023_at,P01588,214.4,141.3,125.8,101.2,72.3,72.4,131.1,143.8,171.2,142.2,67.5,179,128.6,122.8,141.1,66.4,94.6,161.6,102.7,90.9,161.8,94.4,114.1,4.2
1024_at,P04798,172.2,348,157.3,408.7,157.8,412,247.9,791.8,1041.9,388.1,536.4,683.5,551.5,183.3,479.6,905.1,228.1,140.9,730.5,271.8,243.2,181.7,325.5,47.3
1025_g_at,P04798,597.2,617.3,335.2,262.2,255.2,341,467.3,82.3,242.7,364.9,397.7,248.9,453.9,325.8,121.4,206.5,506.6,454.9,181.8,469.8,223.8,513.5,318.4,30.7
1026_s_at,,547.7,277,319.2,229.5,527.4,1087.2,345.3,1607.2,415.5,229.1,842.2,433.2,935.4,377.3,243.5,1278.9,895.4,1089.5,1100.2,1127.9,376.8,184.6,950.2,12.2
1027_at,,294.3,48.8,474.9,88.5,170.1,50.6,170.1,448.8,867.2,366.5,34.2,303.3,68.4,35.8,87.7,117.8,211.7,71.6,152.9,194.5,140.7,463.7,361.6,6.3
1028_at,Q13472,610.7,504.9,466.8,426.2,306.6,335,714.5,686.8,929.8,378.3,626.8,458,660.9,239.3,575.1,213.1,384.9,595.8,489.7,789.6,611.9,428.3,606.9,16.6
1029_s_at,P42681,240,45.9,228.6,187.4,48.2,149,219.7,211,39.4,159.2,146.2,97.9,43.6,26.4,117.9,95.9,120.2,37.9,90.1,76.4,79.2,18.4,90.6,13.2
102_at,Q9H422,114.6,204.1,196.5,141.1,74.5,184.2,164.3,114.9,175.3,115.4,140.3,305,449.8,213.8,227.1,660,271.8,326.3,93.5,248.8,58.6,313.3,278.3,17.3
1030_s_at,P11387,1404.5,1289.3,2253.2,1367.1,2387.6,1838.2,1716.1,1746.5,1612.4,2769.2,1546.8,1645,1153.5,1833.6,1318.7,1412.1,1629,1085.4,1158.4,1501.4,1551.8,1701.1,1025.9,58.1
1031_at,Q96SB4,298.9,419.3,703.7,622.2,674.3,409,261,595.6,635.7,599.4,195.2,534.9,658.1,455.1,476.3,685.9,910.5,420.7,1107.7,295.4,558.8,858,468.1,24.5
1032_at,,2072.8,1176.4,2728,2326.2,1102.4,1453.4,1895.6,1587.8,2336.4,2192.4,1430.9,1601.5,2473.5,2064.1,1552.5,1703.2,1388.5,1719.2,1601.8,1861.8,2372.4,2100.9,1919.9,77.3
1033_g_at,P25025,635.7,157.1,153.4,412.1,54.4,439.5,338,256.3,327.7,102.4,571.7,648.4,183.9,118.6,677.3,245.7,124.1,340,118.4,223.8,383.5,135,126.3,5.1
1034_at,P35625,2100.4,1067,1187.6,974.3,1071,1474,2232.1,1478.4,1660.2,1319.2,2051.8,1404.5,2841.3,1264.1,885,3271.4,2438.2,1590.3,1690.1,1763.5,1582.6,1573.6,2261,97.7
1035_g_at,P35625,2543.4,1330.9,1475.8,881.3,928.2,1201.1,2087.8,653.1,1304,994.4,1368,711.5,3252.6,2086.2,630.5,2825.5,2304,885.7,2693.4,1433.2,1468.5,934.9,1967.9,115.1
1036_at,P40933,96.4,299.9,242.3,306.9,376.4,257.6,344.2,82.9,205.5,252.9,189.4,204.4,259.3,341.6,284.1,244.2,323.2,240.9,402.2,229.5,240.1,308.3,327.8,10.7
1037_at,Q8NEZ4,64.5,240.4,32.1,307.5,44.6,174.8,49.7,33.9,204.3,20.3,28.4,47.3,55.7,34.3,38.3,109.3,42.8,33,226.7,65.1,43.8,58,59.7,3.1
1038_s_at,P15260,2346.6,2242.5,2075.6,1322.8,1441.4,2333.2,1329.1,1517.3,1725.2,1828.7,1359.3,1190.7,1608.8,3540.5,1742.1,1977.3,3103.5,1161.8,2256.5,1172.2,1796.4,1397.1,1428.9,43.8
1039_s_at,Q16665,828.1,502.8,933.6,671.4,1331.2,823.7,611.9,778.2,824.6,3657.9,812,923.1,434.4,615.2,658.2,436.8,529.6,585.1,580.3,275.8,594.1,399.7,549.2,17.8
103_at,P35443,12692.2,6722.9,5001,3519.1,9927.9,13985.9,4379.5,24903.5,51398.9,22781.4,4352.6,6119.6,1876.2,1535.8,1321,2420.7,951.5,2091.8,1481.4,3625.2,2171,2504.6,1454,145.3
1040_s_at,Q9NYB9,73.8,163.2,89.8,112.6,186,151.6,119.2,268.2,155.9,80.1,154.6,239.1,214.3,106.4,56.8,138.3,61.2,71.2,26.3,64.8,39.2,33.4,102.2,2.6
1041_at,P52803,488.6,478.5,182.5,406.2,193.4,319.6,376,616.5,532.7,335.3,203.2,501.7,429.4,327.9,218.5,362.7,384,255.9,370.6,448.1,324.8,422.9,382.5,5.4
1042_at,P49788,82.8,85.4,12,130.4,8.3,72.5,21.8,160.4,37.5,123.3,66.5,32.6,47.1,12.8,110.9,79.2,89.7,63,34.4,40.9,29.3,29.6,43.4,1
1043_s_at,P43351,252,66.4,191.4,225.7,170.5,253.8,170.3,384.3,527,167.6,57.5,452.5,407.3,78.6,219,283.9,232.3,127.5,282.6,122,221.3,360.9,103.5,11.7
1044_s_at,Q15329,409.4,241,229.1,328.5,308.1,282.2,315.2,447.2,272.9,365.7,347.2,283.6,361.7,387.9,230,132.1,318.4,469.7,149.2,141.7,412.5,371.4,358.7,6.3
1045_s_at,Q04206,91.4,216.9,207.7,20.3,150.7,233.5,468.5,171.7,66.9,29.3,379.9,72.9,765.4,232.1,31.3,610.8,503.5,182.4,52,382.2,203,343.8,278.3,2.1
1046_at,Q13325,784.4,344.3,674.2,808.8,560.1,669.7,428.9,567.6,769.3,881.4,452.7,419.2,521.4,1097,374.5,491.4,739.9,527.3,665,671.5,544.4,487.5,376,15.4
1047_s_at,,692.5,490,363.4,512.8,229.5,464.8,557.1,571.1,428,528.2,618.6,440.1,544.8,378.6,453.5,353.3,251.1,629.4,345.4,389.3,475.9,292.8,417,16.4
1048_at,P48443,592.3,866,693.7,538.6,537,620.5,1128.7,506.6,1007.2,903.3,997.6,803.1,2915.9,1814.9,1427.8,1409.4,1218.5,1262.8,1241.9,1440.7,1568.9,1277.5,1163.7,66.8
1049_g_at,P48443,247.8,396.4,565,201.8,405.9,180.6,396.9,161.2,440.2,271,622.8,284.7,2787.6,1030.7,1395.3,1018.3,1979.1,1146,1636.7,1998,1593.4,1403.1,384.9,55.5
104_at,Q14863,549.2,308.4,543.9,446.9,185,395.6,606.6,360.9,511.2,434.8,338.1,560.5,530.7,386.3,391.7,288.1,644,140.8,320.9,118.9,231.9,376.2,748.6,19
1050_at,Q16655,98.1,22.1,71.2,90.5,8.3,12.3,19.9,8.7,12,8.4,9.3,21.5,36.6,4,9.5,36.8,18.4,20.4,15.8,11.9,15.5,63.7,50.8,1.1
1051_g_at,Q16655,185.6,165.4,354.8,250.4,148.1,122.7,438.6,62.8,147.1,138.4,44.3,271.9,167.8,116.9,361.5,445.3,339.8,55.5,296.2,200.5,354.3,232.3,506.9,5.6
1052_s_at,P49716,8315.9,8511,4377.7,4440.4,5249.9,5596,6488.3,3312.5,10244.7,9715.3,2326.7,3051.4,7330.5,20751.3,4507.2,8636.4,16472.9,5255.8,21004.9,8135.7,7364.2,4486.8,2533.4,67.6
1053_at,P35250,377.5,439.8,350.7,293.7,241,653.8,581.7,369.7,174.4,258.3,547.9,339.3,605.1,589.9,565.6,567.5,717.1,506.1,573.2,518.6,291.1,478.7,465.1,17.8
1054_at,P35249,371.6,542.7,476.5,440.8,399.6,521.3,559.3,596.4,387.7,311.1,379.5,226.3,358,578.6,334.9,320.3,511,450.4,412,356.4,516.2,358,375.3,13.1
1055_g_at,P35249,396.5,650.1,610.2,866.9,735,844.9,633.7,647.6,687.9,520.9,630.2,713.8,339.8,778,704.8,560.7,521.3,536.6,824.1,576.6,548.4,554.1,553.3,16
1056_s_at,Q14005,70.4,312.9,214.3,327.1,239.9,243.4,412.4,248.1,563.1,210.1,468.6,244.3,270.5,328.4,146.4,226.7,362.7,370.9,63.4,21.2,223.6,232.8,59.3,11.5
1057_at,P29373,1061.4,83.7,451.5,574.5,454.6,807.9,942.3,775.9,953.8,764.1,718.7,1115.7,840.4,328.2,536.5,236.2,492.8,428.8,575,491.6,384.7,378.9,740.7,36.8
1058_at,Q9UPY6,457.4,755.1,1023.7,920.3,990,663.1,999.8,881.7,1206,1788.8,693.8,561.6,1324.7,917.9,904.5,911.8,1053.5,1144.4,954.9,499.5,881.4,1777.7,653.5,32.3
1059_at,,252.8,356.7,186.8,121.3,132.9,172.2,224.6,279.1,362.1,235.1,167.4,266.5,330.1,350.2,291.9,139.6,215.1,208.2,255.7,109.8,293.7,309.1,47.9,7.6
105_at,Q14994,231.8,180.5,52.1,67.1,34.4,109,149.4,297.5,207.2,41.4,18.7,141.1,177.2,103.5,183.7,94,188.4,36,36.8,26.4,64.8,42,237.8,6.6
1060_g_at,Q16288,469.5,783.8,251,401,385,479.3,191.1,146.2,440.9,764.2,140.3,357.2,576,470.2,342.9,400.6,220,153.8,496.2,378.6,91.1,1012.6,256,26.8
1061_at,Q13651,1326.2,96.2,359.2,537.8,712.1,504.8,879,672.4,785.2,652.4,397.8,699.4,172.4,349.6,388.8,223.9,92.5,182.6,541.4,517.2,103.8,667.4,419.1,14.9
1062_g_at,Q13651,1720.2,817.8,1086.1,763.4,1732.4,1056.7,1060.4,1026.6,945.4,1067.8,847,593.9,315.5,533.7,201.9,524.7,420.8,279.8,446.6,307.4,710.8,358.2,203.7,13.8
1063_s_at,Q06418,1296.8,298.4,274.9,181.6,972,503.9,155.1,568.8,313.6,808.8,623.4,581.3,224.2,238.9,227.9,792.4,156.8,218.8,584,1110.6,210.5,211.7,272.4,6.3
1064_at,Q12792,431.3,360.5,308.5,411.4,588.9,384.4,291.7,381.1,482.1,982.2,295.3,489.4,293.6,394.8,298.1,258.9,273.7,328.7,425.1,137.6,216.5,293.8,414.6,11.6
1065_at,P36888,149.2,351.5,566.5,453.1,315.9,307.6,250.6,315.3,716,176,92.1,617.9,318,275.1,368.9,261,146.8,23.2,79.4,237.9,77.8,540.8,130,4.2
1066_at,P42701,124.1,811.6,173.6,133.1,74.2,179.6,110.1,186.1,105.3,53.2,187.3,179.2,150.9,103.4,120.1,143.3,105.3,381.4,347.5,539.5,121.6,108.5,238.8,12.1
1067_at,P49771,465.2,75.3,272.6,151.5,219.4,342.3,520.4,278.2,430.4,281.3,256.8,356.7,273,255.5,283.1,178.4,131.6,241.6,407.5,191.5,402.1,54.9,260.5,6.4
1068_g_at,P49771,398.7,325.2,734.8,198.5,317.9,324,510.1,355.2,399.6,360.7,337,243.9,506.5,629,355.4,476.5,682,450.7,330.8,480.7,461.1,502.9,1147.6,10
1069_at,P35354,164.9,45.1,165.3,12.6,4.4,16,29.3,117,304.5,102.8,9.7,36.3,120.3,29.5,12.2,31.6,186.3,33.5,29.6,71.2,15.6,153.9,95.9,2.4
106_at,Q13761,446,96.6,411.5,90.5,316.9,284.3,98.6,664,150.1,188.2,375.5,361.7,78.9,57.3,87.2,73.6,67.4,182.3,69.6,73.9,405.9,69.4,107.3,1.2
1070_at,Q00403,529.2,402.5,341.5,572.5,392.7,385.9,550.6,434.2,429.1,252,442.1,285.8,386.7,428.1,160.1,495.7,426.8,514.9,692,486.5,652.5,381.9,525.7,17.1
1071_at,!?,646.7,762.2,142.7,453.5,318.3,814.3,363.1,544.9,986.1,219,176,576.5,1166.1,825.5,860.6,604.6,564.7,377.6,712.2,439.4,286,434.5,192.9,15.3
1072_g_at,P23769,482.6,220.4,535,291.5,157.2,448.1,485.4,864.9,367,541.4,488.7,462.9,536.4,794.1,613.9,657.3,917.3,1307.6,669.1,1327.5,1117,506.5,200.7,31.3
1073_at,P23193,2204.9,2116.1,1735.2,2992.2,2151.1,2201.2,1915.1,1974.3,3320.1,2977.2,1928.6,2870.7,2260.8,2668.1,2694.1,1658.8,2405.5,1386.3,1852.8,2018.7,2571.3,3226.1,2095.3,88.5
1074_at,P62820,983.2,1205.6,1090.2,644.1,780.6,1371.9,1454.9,1104.7,597.1,963.8,1189,908.3,1276.8,1443,969.9,1398,1471.4,1095.5,1205.6,718.9,1042.7,923.1,1370.6,40.4
1075_f_at,P05015,201,153,198.6,268.8,184.3,125.1,311.6,123.9,319.9,13.9,121.3,188.2,72.4,188.2,117.2,128.9,79.1,220.5,136.2,403,269.3,257,327.5,2.6
1076_at,!?,212.9,170.9,132.2,193.6,122.6,154.1,267.4,163,229.3,294.8,198.9,198.9,245.7,297.6,346.9,140.5,125.8,136.5,54.1,22.5,183.6,22.8,379.1,5.4
1077_at,P15918,13.9,129,18.9,140.9,15.1,9.7,47.8,22.4,39.8,69.3,83,52.1,10.9,12.5,81.9,85.8,262.7,232.4,11.6,174.5,53.5,57,44.8,9.2
1078_at,P16471,43.6,56.7,297.6,34,13.7,30.1,169,104,68.9,159.6,46.1,31.8,46,29.8,33.5,41.4,15.8,32.4,127.3,13.6,28.4,60.6,364,8.3
1079_g_at,P16471,386.3,612.2,217,518.4,108.4,106.8,116.9,435,271.5,612.1,576.8,175.6,188.7,888.6,295.4,162.1,197.5,163.2,558.3,388.9,304.2,547.3,169.4,8
107_at,P0C0E4 Q8WXH6,141,220.7,161.2,478.5,103.2,87.1,205.8,351.5,230.1,136.6,93.8,209.2,174.8,145.6,95.1,164.9,172.4,78.2,126.8,370.2,487.9,307.1,446.8,5.3
1080_s_at,P05177,44.4,74.8,43.3,12.8,27.5,56.8,20.9,44.6,35.9,36.4,22.6,63.4,35.8,30.5,29.9,44,24.9,62.6,36.6,62.9,44.3,26,46,1.6
1081_at,P11926,6679.6,5823.2,5355.2,4787.2,6075.7,6672.4,5319.2,11663.4,6038.3,3648.4,5883.1,5086.1,7624,4011.7,3683.8,4287.4,9811,4252.2,4781.8,5085.6,5032.2,5409.1,6701.4,334.7
1082_at,P19174,225.5,248.5,95.4,469.5,153,359.8,253.5,213.4,127.3,245.6,322.5,276,202.8,237,352.1,387.3,46.6,53.3,220.4,173.7,160.6,69.3,147,5.5
1083_s_at,,1342,472.6,814.5,593.6,404.1,721.7,644.4,679,426.9,764.6,540,508.7,1379.8,851.2,690.3,411.2,891.4,1049.7,599.6,644,1001,726.3,1052.3,51.1
1084_at,P42684,110.6,97.1,91.3,48.3,35.9,98.1,223.1,289.2,215,85,207.5,199.3,128.5,99.2,115.6,128.9,49.6,46,233.3,47,57.9,75.5,417.8,6.4
1085_s_at,P16885,1069,1244.9,919.2,957.3,726.4,804.4,842.9,792.5,1084.4,1322.4,679.4,960.3,996.1,1033.6,1203.7,714.2,1099.5,461.9,943.5,699.8,608.4,764.1,1051.2,37.8
1086_at,P32927,87.7,531,158.3,75.9,74,268.6,192.2,311.2,310.1,239.8,316.4,191.1,435.5,42.2,84.7,397.7,62,115.4,90.3,150.6,104,284.4,190.1,3
1087_at,P19235,122.8,108.7,113.5,151.1,43.2,125.4,131.6,344.4,121.1,264.9,289.7,91.1,422.4,78.3,377.4,410.3,329.6,391.2,93.3,92.6,251.8,69.7,138.6,5.1
1088_at,P23560,4.7,132.6,38.3,14,43.3,55.5,177.2,24.1,106.2,32.7,23,143.2,136.3,226.1,192,149.8,82.2,152.6,61.9,115.6,74.8,134.8,103.5,3.2
1089_i_at,,2151.7,1387.7,1291.5,245.7,863.8,61.6,1128.8,723.3,147.1,841.3,533.6,2325.2,937.4,150.3,1372.4,596.6,1088.9,548.7,240.1,651.9,997.2,90.9,1590.9,9.2
108_g_at,P0C0E4 Q12829 Q8WXH6,1579.4,688.9,247.1,194.7,585.1,1177.9,857.8,1298.5,160.9,214.2,1686.9,184.4,1979.6,275.6,342,1358.5,1254.5,1150.1,200.9,2252.3,171.5,807.9,378.7,5.8
1090_f_at,,56,165.7,362.4,76.4,129.9,198.5,420.9,135.1,211.8,370.5,191,218,493.9,418.7,368.5,232.7,324.8,270.9,492.5,253.6,88.8,78.3,515.2,7.3
1091_at,P31321,3744.3,2972.3,2957.3,2551.8,1985.4,2187.8,3583.6,2273,2930.4,2309.7,2350.9,1969.2,3085.6,2747.3,1975.4,2498.3,2903.4,2825.1,1605.1,2472.2,3024,1984.4,2148.8,98.9
1092_at,P20800,644.1,840,1141.2,633.3,449.3,664.8,456,1644.1,580.6,358.1,607.8,865.7,913.5,747.2,2184.7,450,775.3,740.7,358.1,719.6,581,913.7,778.6,17.8
1093_at,P30154,63.7,117.6,89.9,44.8,48.6,45.8,22.5,70.4,134.4,22.4,161.5,23.6,103.2,65.4,162.2,141.1,65.1,60.7,10.1,28.5,89.9,64.8,304.2,0.8
1094_g_at,P30154,847.2,316.1,536.4,169.1,281.7,555.3,694,173,195.7,525,529.7,136.1,997,657.2,389.6,954.3,908.4,619,406.1,464.3,515.9,336,179,23.8
1095_s_at,P14210,81.6,18.7,62.2,30.9,2.2,36.6,54.6,10.9,107.4,40.9,42.9,11.9,92.8,18,13.3,3.9,3.6,9.7,37.8,66.5,3.6,33,121,2.7
1096_g_at,P15391,816.4,551.9,462.5,896.9,496.5,663.7,1238.6,377.2,882.8,277.3,723,247.5,922.4,668.8,387.5,445.9,981.7,1098,550.4,497.2,897.5,1072.5,1019.2,27.1
1097_s_at,P32248,601.7,621.9,579.5,745,414.5,594.9,700.3,420.5,798.7,485.2,701.3,600.2,890.4,632.6,682.5,499.4,582.7,608.6,535.5,651,730.9,402,260,23.2
1098_at,P40225,156.2,39.8,73.5,34.4,11,159.7,34.5,180,169.1,22,135,171.5,161.2,192.6,34.1,14.4,41.6,15.7,27.6,80.3,83.3,159.3,224.6,1
1099_s_at,P0CG30,622.4,827.2,134.5,1493,615.6,973,1367.9,979.6,1241.8,555.9,528.2,749.9,915.7,1436.2,708.2,945.4,493.8,2366.5,1200.7,573.3,184.9,1760.8,314.2,19.2
109_at,Q7Z6M1,1460.8,1005.1,1220.2,1318.6,1622.6,937.9,904.9,1377.3,1063.2,1044.4,1347.5,852.2,999.1,1118.2,1323.8,911.5,1659.4,1563.3,1204.8,1168.4,1375.2,1223.4,1305.5,22.7
1100_at,P51617,1671.4,1668.6,1179.5,1300.9,1097.3,1477.1,1503.3,2432.2,1634.9,1427.7,1108.8,2176.5,1193.4,983.5,844.4,583.1,1350.1,1641.1,973.6,1169.4,1232.8,1112.5,866.4,37.4
1101_at,O00213,945.4,802.6,688.8,903.4,444.1,888.2,902.1,878.4,1277.4,915.2,520.6,810.5,1003.1,1056.6,717.8,740.2,1093.8,1527.2,855.8,1296.5,821.8,950.5,868.5,30
1102_s_at,P04150,1002.8,1539.6,866,883.4,1068.7,1433.7,2592.3,1428.9,461.2,1159.8,1694.5,616.2,2592.8,1710.1,2168.7,2783.9,2360.3,1676.4,2194.5,2190.1,1429,972.2,1163.7,56.5
1103_at,P03950,308.4,423.2,76.6,41.9,89.1,333,211.5,113.4,195.3,113.4,352.2,86.3,99.8,96.5,170,109.4,147.4,85.4,137.2,739.7,112.5,68.6,205.9,3.4
1104_s_at,P08107,7753.2,6699.6,3879.7,3583.4,2520,4040.1,4877.7,5688.6,7493.9,5330.4,5536.8,6147.3,5133.6,6205.9,4432.6,5650.7,6457.7,4120.6,8634.3,13252.9,4347.9,4903.2,7541.5,215.2
1105_s_at,,4392.4,2819.6,1649.1,3172,2601.8,2081.9,3081.4,2650,3243.1,2131.1,2668.3,2007.6,2544.6,2919.3,2486.6,1654.2,2077.7,3446.2,1963,3597.8,3343.6,2159.7,1650.5,89.8
1106_s_at,,1413,805.1,1590.6,659.4,786.8,1164.6,1120.5,674.5,1584.1,516,518.1,1163.1,762.7,1034.2,914.8,484.7,107.8,977.5,693.9,1355.3,1195.3,1089.1,488.6,34.4
1107_s_at,P05161,10019.4,1911,4949.2,1795.5,1627.7,1950.1,4901.3,1685.4,2886.3,3252.8,2165.1,1964,1389,6572.2,1472.6,1653.1,3707.2,1915.7,6401.6,6434.5,3793.7,1075.4,1434.6,61.6
1108_s_at,P21709,84.8,117.5,107.4,63.4,41.3,81.7,78.5,88.9,95.4,46.7,73.4,132.8,98,97.8,95.6,100,86,74.1,51.9,355.3,120.7,62.2,119.6,4.4
1109_s_at,P04085,258,129.8,184,135.5,222.5,92.4,225.7,107.8,172,85,110,199.1,495.1,352.2,495.3,320.9,187.8,503.6,179,180.3,305.3,242.4,764.8,4.9
110_at,Q6UVK1,2128.7,618.4,679.3,389.5,341.1,1275.2,2554,1707.7,2678.4,1419.1,1558.8,626.3,627.4,677.8,397.2,435.4,451.7,970.6,847.3,2279.1,573.6,1022.4,993.3,20.1
1110_at,,616.5,293.6,915.2,495,599.5,437.9,756.4,524.3,780.3,521.2,246.4,468.6,498,595.2,556.5,666.2,257.1,509,638,381.2,756.1,479.2,371.3,21
1111_at,P13591,404.3,274.8,157.4,47.2,80,408.5,448.7,471.5,102.2,95.1,507,140.7,708.5,719.3,312.4,61.8,181.4,386.5,79,334.7,207.9,117.3,148.1,2.2
1112_g_at,P13591,1449.1,793.3,598,537.5,392.6,990.7,678.7,886.4,613.7,466.3,534.9,424,760,683.6,569.3,405.3,213.4,488.8,128.3,113.6,257.3,437.8,562.3,16.6
1113_at,P12643,241.3,183.3,41.1,34.8,36.7,30.6,302.6,55.4,267.8,36.2,129.9,181.6,300.5,140.1,32.5,35.1,182.5,21.8,172.2,48.5,53.1,120.4,54.2,9.3
1114_at,P12644,814.8,1067,597.1,702.6,54.4,421.2,839.7,566.1,388.1,381.5,728.4,661.5,657.4,591.3,645,311.6,462.9,121.4,720,908.8,612.2,100.9,110.7,8.9
1115_at,P02776,152.7,293.5,95.2,324.9,163.2,1025.4,396.4,128.7,4227.1,211.3,197.7,358.1,238.6,93.7,69.1,59.7,35.5,461.4,403.2,487.3,315,1217.7,271.2,7.8
