Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
11	a	sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	12.30	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0			
12	a	sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	4.80	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9935	2	2	2	3	3	3	     0	     0	     0			
13	a	sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	20.40	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	     0	     0	     0	5C(57.0215)		
14	a	sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	15.70	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	16C(57.0215), 8C(57.0215)		
15	a	sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	13.50	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
16	a	sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	15.30	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0		Delta:H(4)C(3)(40.031300)	
17	a	sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	19.20	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
18	a	sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	7.10	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
19	a	sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	8.20	Homo sapiens OX=9606	Tripeptidyl-peptidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
20	a	sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	16.40	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0			
21	a	sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	8.10	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D-like 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	3C(57.0215)	Lys->Arg(28.006100)	
22	a	sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	15.70	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	10	10	     0	     0	     0	12C(57.0215)		
23	a	sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	9.50	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	13C(57.0215), 9C(57.0215)		
24	a	sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	14.00	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	12C(57.0215), N-term(42.0106)		
25	a	sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	11.70	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0			
26	a	sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	11.50	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit D 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	17C(57.0215)		
27	a	sp|O15382|BCAT2_HUMAN	O15382	BCAT2_HUMAN	BCAT2	392	7.10	Homo sapiens OX=9606	Branched-chain-amino-acid aminotransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
28	a	sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	8.20	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	2C(57.0215)		
29	a	sp|O43169|CYB5B_HUMAN	O43169	CYB5B_HUMAN	CYB5B	150	35.30	Homo sapiens OX=9606	Cytochrome b5 type B 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
30	a	sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	20.80	Homo sapiens OX=9606	D-3-phosphoglycerate dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	     0	     0	     0	11C(57.0215), 5C(57.0215), 7C(57.0215)	Carbamyl(43.005800)	
31	a	sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	5.10	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9981	2	2	2	3	3	3	     0	     0	     0			
32	a	sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	28.30	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein R 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	     0	     0	     0			
33	a	sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	13.80	Homo sapiens OX=9606	Thioredoxin-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
34	a	sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	16.50	Homo sapiens OX=9606	Tumor protein D54 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
35	a	sp|O43660|PLRG1_HUMAN	O43660	PLRG1_HUMAN	PLRG1	514	11.10	Homo sapiens OX=9606	Pleiotropic regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	19C(57.0215), 1C(57.0215)		
36	a	sp|O43670|ZN207_HUMAN	O43670	ZN207_HUMAN	ZNF207	478	9.00	Homo sapiens OX=9606	BUB3-interacting and GLEBS motif-containing protein ZNF207 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
37	a	sp|O43681|GET3_HUMAN	O43681	GET3_HUMAN	GET3	348	11.20	Homo sapiens OX=9606	ATPase GET3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
38	a	sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	14.60	Homo sapiens OX=9606	Mitotic checkpoint protein BUB3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	10C(57.0215)		
39	a	sp|O43776|SYNC_HUMAN	O43776	SYNC_HUMAN	NARS1	548	12.40	Homo sapiens OX=9606	Asparagine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	4C(57.0215)		
40	a	sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	9.10	Homo sapiens OX=9606	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9975	2	2	2	2	2	2	     0	     0	     0			
41	a	sp|O43852|CALU_HUMAN	O43852	CALU_HUMAN	CALU	315	22.90	Homo sapiens OX=9606	Calumenin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	     0	     0	     0			
42	a	sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	28.10	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein Q 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	N-term(42.0106)		
43	a	sp|O60664|PLIN3_HUMAN	O60664	PLIN3_HUMAN	PLIN3	434	25.60	Homo sapiens OX=9606	Perilipin-3 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10C(57.0215), 11C(57.0215)		
44	a	sp|O60739|EIF1B_HUMAN	O60739	EIF1B_HUMAN	EIF1B	113	35.40	Homo sapiens OX=9606	Eukaryotic translation initiation factor 1b 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0	3C(57.0215)		sp|P41567|EIF1_HUMAN
45	a	sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	13.40	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit DKC1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
46	a	sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	10.10	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	5C(57.0215)		
47	a	sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	11.40	Homo sapiens OX=9606	WD repeat-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	18C(57.0215)		
48	a	sp|O75340|PDCD6_HUMAN	O75340	PDCD6_HUMAN	PDCD6	191	34.00	Homo sapiens OX=9606	Programmed cell death protein 6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
49	a	sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	28.90	Homo sapiens OX=9606	Filamin-B 	1:Experimental evidence at protein level	1.0000	0.9990	42	41	41	55	54	54	     0	     0	     0	11C(57.0215), 13C(57.0215), 14C(57.0215), 16C(57.0215), 9C(57.0215)	Delta:H(4)C(3)(40.031300)	
50	a	sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	5.50	Homo sapiens OX=9606	PC4 and SFRS1-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
51	a	sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	10.40	Homo sapiens OX=9606	Splicing factor 3B subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0			
52	a	sp|O75534|CSDE1_HUMAN	O75534	CSDE1_HUMAN	CSDE1	798	2.90	Homo sapiens OX=9606	Cold shock domain-containing protein E1 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
53	a	sp|O75607|NPM3_HUMAN	O75607	NPM3_HUMAN	NPM3	178	44.90	Homo sapiens OX=9606	Nucleoplasmin-3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	14C(57.0215), 17C(57.0215), 3C(57.0215)		
54	a	sp|O75643|U520_HUMAN	O75643	U520_HUMAN	SNRNP200	2136	4.80	Homo sapiens OX=9606	U5 small nuclear ribonucleoprotein 200 kDa helicase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	18C(57.0215)		
55	a	sp|O75694|NU155_HUMAN	O75694	NU155_HUMAN	NUP155	1391	2.70	Homo sapiens OX=9606	Nuclear pore complex protein Nup155 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
56	a	sp|O75821|EIF3G_HUMAN	O75821	EIF3G_HUMAN	EIF3G	320	10.00	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit G 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
57	a	sp|O75822|EIF3J_HUMAN	O75822	EIF3J_HUMAN	EIF3J	258	31.00	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit J 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	N-term(42.0106)		
58	a	sp|O75832|PSD10_HUMAN	O75832	PSD10_HUMAN	PSMD10	226	14.20	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 10 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	18C(57.0215)		
59	a	sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	23.60	Homo sapiens OX=9606	ATP synthase subunit d, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
60	a	sp|O76003|GLRX3_HUMAN	O76003	GLRX3_HUMAN	GLRX3	335	8.10	Homo sapiens OX=9606	Glutaredoxin-3 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
61	a	sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	11.80	Homo sapiens OX=9606	Ribosomal L1 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	N-term(42.0106)		
62	a	sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	4.10	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM70 	1:Experimental evidence at protein level	1.0000	0.9971	2	2	2	2	2	2	     0	     0	     0			
63	a	sp|O94979|SC31A_HUMAN	O94979	SC31A_HUMAN	SEC31A	1220	4.70	Homo sapiens OX=9606	Protein transport protein Sec31A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
64	a	sp|O95197|RTN3_HUMAN	O95197	RTN3_HUMAN	RTN3	1032	6.20	Homo sapiens OX=9606	Reticulon-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	33C(57.0215), N-term(42.0106)		
65	a	sp|O95292|VAPB_HUMAN	O95292	VAPB_HUMAN	VAPB	243	13.60	Homo sapiens OX=9606	Vesicle-associated membrane protein-associated protein B/C 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	1C(57.0215)		
66	a	sp|O95336|6PGL_HUMAN	O95336	6PGL_HUMAN	PGLS	258	29.80	Homo sapiens OX=9606	6-phosphogluconolactonase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0			
67	a	sp|O95373|IPO7_HUMAN	O95373	IPO7_HUMAN	IPO7	1038	11.30	Homo sapiens OX=9606	Importin-7 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0	12C(57.0215), 5C(57.0215)		
68	a	sp|O95433|AHSA1_HUMAN	O95433	AHSA1_HUMAN	AHSA1	338	10.70	Homo sapiens OX=9606	Activator of 90 kDa heat shock protein ATPase homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
69	a	sp|O96008|TOM40_HUMAN	O96008	TOM40_HUMAN	TOMM40	361	12.70	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM40 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	18C(57.0215), 20C(57.0215), 30C(57.0215)		
70	a	sp|O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	11.20	Homo sapiens OX=9606	Actin-like protein 6A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
71	a	sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	18.10	Homo sapiens OX=9606	L-lactate dehydrogenase A chain 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	15	15	15	     0	     0	     0	3M(15.9949), 9C(57.0215)		
72	a	sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	8.80	Homo sapiens OX=9606	Cytochrome c oxidase subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	1M(15.9949)		
73	a	sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	46.10	Homo sapiens	Superoxide dismutase [Cu-Zn] 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	20C(57.0215), 21C(57.0215)		
74	a	sp|P00491|PNPH_HUMAN	P00491	PNPH_HUMAN	PNP	289	33.90	Homo sapiens OX=9606	Purine nucleoside phosphorylase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	8	8	8	     0	     0	     0	21C(57.0215)		
75	a	sp|P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	18.30	Homo sapiens OX=9606	Hypoxanthine-guanine phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	6C(57.0215)		
76	a	sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	8.80	Homo sapiens OX=9606	Aspartate aminotransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9985	2	2	2	2	2	2	     0	     0	     0	12C(57.0215)		
77	a	sp|P00533|EGFR_HUMAN	P00533	EGFR_HUMAN	EGFR	1210	3.90	Homo sapiens OX=9606	Epidermal growth factor receptor 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	     0	     0	     0	10C(57.0215)		
78	a	sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	44.40	Homo sapiens OX=9606	Phosphoglycerate kinase 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	10	13	24	19	24	     0	     0	     0	14C(57.0215), 15C(57.0215), 16M(15.9949), 19C(57.0215), 2C(57.0215), 5M(15.9949)	Carbamyl(43.005800), Carbamyl(43.005800), Delta:H(4)C(3)(40.031300)	
79	a	sp|P00568|KAD1_HUMAN	P00568	KAD1_HUMAN	AK1	194	18.00	Homo sapiens OX=9606	Adenylate kinase isoenzyme 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	15C(57.0215)	Delta:H(4)C(3)(40.031300)	
80	a	sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	11.10	Homo sapiens OX=9606	Prothrombin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	28C(57.0215), 7C(57.0215)	Carboxymethyl:13C(2)(60.012100)	
81	a	sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	21.60	Sus scrofa	Trypsin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
82	a	sp|P00966|ASSY_HUMAN	P00966	ASSY_HUMAN	ASS1	412	13.80	Homo sapiens OX=9606	Argininosuccinate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	     0	     0	     0			
83	a	sp|P01024|CO3_HUMAN	P01024	CO3_HUMAN	C3	1663	3.10	Homo sapiens OX=9606	Complement C3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
84	a	sp|P02042|HBD_HUMAN	P02042	HBD_HUMAN	HBD	147	21.80	Homo sapiens OX=9606	Hemoglobin subunit delta 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	11C(57.0215)		
85	a	sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	23.50	Homo sapiens OX=9606	Prelamin-A/C 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	12	12	12	     0	     0	     0			
86	a	sp|P02786|TFR1_HUMAN	P02786	TFR1_HUMAN	TFRC	760	14.60	Homo sapiens OX=9606	Transferrin receptor protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0			
87	a	sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	13.90	Homo sapiens	Catalase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	12C(57.0215), 2C(57.0215)		
88	a	sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	48.60	Homo sapiens OX=9606	Fructose-bisphosphate aldolase A 	1:Experimental evidence at protein level	1.0000	0.9990	9	3	9	22	5	22	     0	     0	     0	10C(57.0215), 5C(57.0215)		
89	a	sp|P04080|CYTB_HUMAN	P04080	CYTB_HUMAN	CSTB	98	58.20	Homo sapiens OX=9606	Cystatin-B 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	3C(57.0215), N-term(42.0106)		
90	a	sp|P04083|ANXA1_HUMAN	P04083	ANXA1_HUMAN	ANXA1	346	29.50	Homo sapiens OX=9606	Annexin A1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	21C(57.0215), 5M(15.9949)	Delta:H(4)C(3)(40.031300)	
91	a	sp|P04406|G3P_HUMAN	P04406	G3P_HUMAN	GAPDH	335	46.30	Homo sapiens OX=9606	Glyceraldehyde-3-phosphate dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	41	41	41	     0	     0	     0	11C(57.0215), 12M(15.9949), 13C(57.0215), 13M(15.9949), 15M(15.9949), 19M(15.9949), 7C(57.0215)	Cation:Ca[II](37.946900), Cation:Fe[III](52.911400)	
92	a	sp|P04632|CPNS1_HUMAN	P04632	CPNS1_HUMAN	CAPNS1	268	14.60	Homo sapiens OX=9606	Calpain small subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
93	a	sp|P04792|HSPB1_HUMAN	P04792	HSPB1_HUMAN	HSPB1	205	40.00	Homo sapiens OX=9606	Heat shock protein beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0		Cation:Fe[III](52.911400)	
94	a	sp|P04843|RPN1_HUMAN	P04843	RPN1_HUMAN	RPN1	607	15.00	Homo sapiens OX=9606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
95	a	sp|P04844|RPN2_HUMAN	P04844	RPN2_HUMAN	RPN2	631	16.60	Homo sapiens OX=9606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
96	a	sp|P05198|IF2A_HUMAN	P05198	IF2A_HUMAN	EIF2S1	315	12.40	Homo sapiens OX=9606	Eukaryotic translation initiation factor 2 subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
97	a	sp|P05386|RLA1_HUMAN	P05386	RLA1_HUMAN	RPLP1	114	37.70	Homo sapiens OX=9606	60S acidic ribosomal protein P1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	5	5	5	     0	     0	     0	12C(57.0215)		
98	a	sp|P05387|RLA2_HUMAN	P05387	RLA2_HUMAN	RPLP2	115	69.60	Homo sapiens OX=9606	60S acidic ribosomal protein P2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	     0	     0	     0			
99	a	sp|P05388|RLA0_HUMAN	P05388	RLA0_HUMAN	RPLP0	317	20.20	Homo sapiens OX=9606	60S acidic ribosomal protein P0 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	1	8	2	2	     0	     0	     0			
