"","V1","pvalue","V3"
"48","M93056_at","0.0226606101634415","+"
"49","M96803_at","0.0267838058946258","+"
"50","M98045_at","0.0373649947877246","+"
"51","S46622_at","0.00214226104995639","+"
"52","S50223_at","1.93070421059349e-06","-"
"53","S72008_at","0.0293704875768151","+"
"54","S76617_at","0.00116661819060379","-"
"55","U03911_at","0.00355989274491223","-"
"56","U05259_rna1_at","2.93693056569453e-07","-"
"57","U10485_at","0.0107275044288378","-"
"58","U18062_at","0.0250303211051222","+"
"59","U32944_at","0.0491971370797358","+"
"60","U33822_at","0.0153084764772724","-"
"61","U38846_at","0.040816882965471","+"
"62","U40572_at","0.0110069734559301","-"
"63","U43885_at","0.0292156402079687","+"
"64","U46499_at","0.000130072305749102","+"
"65","U50136_rna1_at","0.0211192705404859","+"
"66","U53468_at","0.0378649429385065","+"
"67","U60115_at","0.0116337428582633","+"
"68","U62136_at","0.00557201501618015","+"
"69","U73737_at","0.0190957125248622","-"
"70","U76638_at","0.0472765465090968","+"
"71","U77948_at","0.000390298239274493","+"
"72","U79285_at","0.00783358455985794","-"
"73","U82759_at","0.0468850340103421","+"
"74","U90549_at","0.0147585265890551","-"
"75","U94319_at","0.0339411113302668","+"
"76","U94855_at","0.00179073866750077","-"
"77","U97502_rna1_at","0.0168858200402623","+"
"78","X12447_at","0.0357347330054552","+"
"79","X14850_at","0.0124966708522626","+"
"80","X15357_at","0.0385357981794046","+"
"81","X15414_at","7.62354221033361e-05","-"
"82","X17042_at","2.25436611719861e-05","+"
"83","X51521_at","0.000287942700815001","-"
"84","X56468_at","0.00308143133379575","+"
"85","X58529_at","0.00233854554748847","+"
"86","X59350_at","0.0210703271854897","-"
"87","X59417_at","2.10934538887296e-08","-"
"88","X61587_at","0.00661909037921883","+"
"89","X63469_at","0.0116674628366127","+"
"90","X66401_cds1_at","3.98891863382472e-05","-"
"91","X66867_cds1_at","0.00595995371831251","-"
"92","X66899_at","0.0450560662546697","+"
"93","X67951_at","0.00223791835440863","+"
"94","X68560_at","0.0128274107979485","-"
"95","X69111_at","0.00332256288544555","-"
"96","X74262_at","0.0025915931556921","-"
"97","X76648_at","0.00531829445952866","+"
"98","X78669_at","0.000655264999948619","+"
"99","X80230_at","0.0466063803608702","+"
"100","X82240_rna1_at","0.00117658701477909","-"
"101","X95735_at","3.97124742968993e-05","+"
"102","X99585_at","0.0215810312160087","+"
"103","X99920_at","0.0383471645645197","-"
"104","Y00433_at","0.0336936013598956","+"
"105","Y07604_at","0.00046078357288969","+"
"106","Y08612_at","3.79161745448097e-06","-"
"107","Z14982_rna1_at","0.00699315921839388","+"
"108","Z35102_at","0.0409009063423","+"
"109","Z49194_at","0.000210531379327985","-"
"110","Z69881_at","0.0199637882775057","+"
"111","D38073_at","0.00205414377759905","+"
"112","HG2846-HT2983_at","0.00877086674025798","-"
"113","L08895_at","0.0294366578363249","+"
"114","U07139_at","6.73066180475473e-05","-"
"115","Z15115_at","3.64874239986363e-05","-"
"116","L06797_s_at","0.000176574078464349","+"
"117","U00802_s_at","0.012859621745765","+"
"118","D26156_s_at","8.40120989888856e-05","-"
"119","X62153_s_at","0.00527284905589501","+"
"120","L33930_s_at","0.0120263322475503","+"
"121","U22376_cds2_s_at","3.71461126475681e-06","-"
"122","J04029_s_at","0.0345879850622062","+"
"123","M32304_s_at","0.0101063617827881","+"
"124","L09209_s_at","0.00211030561466532","+"
"125","U89922_s_at","0.0457028029766622","-"
"126","L14848_s_at","0.0192992070291121","+"
"127","M12959_s_at","0.0101575898469025","-"
"128","M84371_rna1_s_at","3.3698110481792e-07","-"
"129","M27504_s_at","0.000787212659621017","-"
"130","M31211_s_at","1.40773780652494e-07","+"
"131","M65214_s_at","0.00017585099012224","+"
"132","M63838_s_at","0.00308700805560163","+"
"133","U09087_s_at","0.00300026783203614","+"
"134","U18271_cds3_s_at","0.00236909467105363","-"
"135","U26266_s_at","0.00974574927776176","-"
"136","U26312_s_at","0.0485548988255336","+"
"137","U49020_cds2_s_at","0.0455007549142543","-"
"138","X97267_rna1_s_at","6.59707865797214e-06","-"
"139","L11672_r_at","0.0247618895631467","+"
"140","L49229_f_at","0.00282637610964936","+"
"141","M31523_at","8.41036007067868e-08","-"
"142","M28170_at","3.46187716053494e-06","-"
"143","U29175_at","6.06136564924919e-06","-"
